,,,,P N   t r i p l e t s,,
,1;PL;EXCL,yjoqA waG,ntjoqI waG,ntyjoqA waG,kjoqA waG,
,2;PL,yjoqA wanA,ntjoqI wanA,ntyjoqA wanA,kjoqA wanA,
,3;PL,yjoqA renqA,ntjoqI renqA,ntyjoqA renqA,kjoqA renqA,
,,,,,,
[5],yku4,ate,tv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,ykonE,ntykonE,ntykonH,konH,
,2;SG,ykuG,ntykuG,ntykuG,kuG,
,3;SG,ykuA,ntykuI,ntykuA,kuA,
,1;PL;INCL,ykonJonI,ntykonEonE,ntykonJonI,konJonI,
,1;PL;EXCL,ykuA waG,ntykuI waG,ntykuA waG,kuA waG,
,2;PL,ykuA wanA,ntykuI wanA,ntykuA wanA,kuA wanA,
,3;PL,ykuA renqA,ntykuI renqA,ntykuA renqA,kuA renqA,
,,,,,,
[5],ykwiq4,spoke,tv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,ykwenqE,ntykwenqE,ntykwenqH,tykwenqH,
,2;SG,ykwiqG,ntykwiqG,ntykwiqG,tykwiqG,
,3;SG,ykwiqA,ntykwiqI,ntykwiqA,tykwiqA,
,1;PL;INCL,ykwenqJenI,ntykwenqEenE,ntykwenqJenI,tykwenqJenI,
,1;PL;EXCL,ykwiqA waG,ntykwiqI waG,ntykwiqA waG,tykwiqA waG,
,2;PL,ykwiqA wanA,ntykwiqI wanA,ntykwiqA wanA,tykwiqA wanA,
,3;PL,ykwiqA renqA,ntykwiqI renqA,ntykwiqA renqA,tykwiqA renqA,
,,,,,,
[5],ylaq4,touched,tv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,ylanqE,nlanqE,nlyanqH,klanqH,
,2;SG,ylaqG,nlaqG,nlyaqG,klaqG,
,3;SG,ylaqA,nlaqI,nlyaqA,klaqA,
,1;PL;INCL,ylanqJanI,nlanqEanE,nlyanqJanI,klanqJanI,
,1;PL;EXCL,ylaqA waG,nlaqI waG,nlyaqA waG,klaqA waG,
,2;PL,ylaqA wanA,nlaqI wanA,nlyaqA wanA,klaqA wanA,
,3;PL,ylaqA renqA,nlaqI renqA,nlyaqA renqA,klaqA renqA,
,,,,,,
[5],yta4,planted,iv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,ytanE,ntanE,ntyanH,ktanH,
,2;SG,ytaG,ntaG,ntyaG,ktaG,
,3;SG,ytaA,ntaI,ntyanA,ktaA,
,1;PL;INCL,ytanJanI,ntanEan,ntyanJanI,ktanJanI,
,1;PL;EXCL,ytaA waG,ntaI waG,ntyanA waG,ktaA waG,
,2;PL,ytaA wanA,ntaI wanA,ntyanA wanA,ktaA wanA,
,3;PL,ytaA renqA,ntaI renqA,ntyanA renqA,ktaA renqA,
,,,,,,
[5],ytiq4,sucked,tv,l-lh-h,mh-lh-h,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,ytenqE,ntenqE,ntyinqH,ktenqH,
,2;SG,ytiqG,ntiqG,ntyiqG,ktiqG,
,3;SG,ytiqA,ntiqI,ntyiqA,ktiqA,
,1;PL;INCL,ytenqJenI,ntenqEenE,ntyinqJenI,ktenqJenI,
,1;PL;EXCL,ytiqA waG,ntiqI waG,ntyiqA waG,ktiqA waG,
,2;PL,ytiqA wanA,ntiqI wanA,ntyiqA wanA,ktiqA wanA,
,3;PL,ytiqA renqA,ntiqI renqA,ntyiqA renqA,ktiqA renqA,
,,,,,,
[6],ntyka2,healed,iv,m-h-m,m-h-m,m-h-m
,,CPL,PROG,HAB,POT,
,1;SG,ntykanC,ntykanC,ntykanC,tykanC,
,2;SG,ntykaE,ntykaE,ntykaE,tykaE,
,3;SG,ntykaC,ntykaC,ntykaC,tykaC,
,1;PL;INCL,ntykanCanE,ntykanCanE,ntykanCanE,tykanCanE,
,1;PL;EXCL,ntykaC waG,ntykaC waG,ntykaC waG,tykaC waG,
,2;PL,ntykaC wanE,ntykaC wanE,ntykaC wanE,tykaC wanE,
,3;PL,ntykaC renqE,ntykaC renqE,ntykaC renqE,tykaC renqE,
,,,,,,
[7],ngwa2,was,iv,m-h-m,ml-lh-ml,ml-lh-ml
