Appendix. Corpus of singular forms of 197 SJQ Chatino verbs arranged by AM class and component PN triplets,,,,,,,,,,
[7/31/20],,,,,,,,,,
"AM
 class",Citation form,Gloss,P/N,CPL,PRG,HAB,POT,"CPL
[12],xtaH,choked,"1sg
 2sg
 3sg","xtanLS
 xtanLH
 xtaH","nxstanMH
 nxstanLH
 nxstanH","nxstanLS
 nxstanMS
 nxstanHL","xtanLS
 xtanMS
 xtanHL",⟨h‑lh‑ls⟩,⟨h‑lh‑mh⟩,⟨hl‑ms‑ls⟩
[13],nlyuH,"fell down (while 
 standing or walking)","1sg
 2sg
 3sg","nlyonMS
 nlyuLH
 nlyuH","nlyonMS
 nlyuLH
 nlyuH","nlyonMH
 nlyuLH
 nlyuMS","tlyonMH
 tlyuLH
 tlyuMS",⟨h‑lh‑ms⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑mh⟩
[14],kwiH,hung it,"1sg
 2sg
 3sg","kwenMS
 kwiLH
 kwiH","ndwenMS
 ndwiLH
 ndwiH","ndywenMS
 ndywiLH
 ndywiMS","tykwenMS
 tykwiLH
 tykwiMS",⟨h‑lh‑ms⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑ms⟩
[14],ntqoH,left,"1sg
 2sg
 3sg","ntqonMS
 ntqoLH
 ntqoH","ntqonMS
 ntqoLH
 ntqoH","ntyqonMS
 ntyqoLH
 ntyqoMS","tyqonMS
 tyqoLH
 tyqoMS",⟨h‑lh‑ms⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑ms⟩
[14],ntyqoH,resembled,"1sg
 2sg
 3sg","ntyqonMS
 ntyqoLH
 ntyqoH","ntyqonMS
 ntyqoLH
 ntyqoH","ntyqonMS
 ntyqoLH
 ntyqoMS","tyqonMS
 tyqoLH
 tyqoMS",⟨h‑lh‑ms⟩,⟨h‑lh‑ms⟩,⟨ms‑lh‑ms⟩
[15],ynoH,stayed behind,"1sg
 2sg
 3sg","ynonMS
 ynoLH
 ynoH","ntqenMS
 ntqenLH
 ntqenL","nnonMS
 nnoLH
 nnoH","knonMS
 knoLH
 knoH",⟨h‑lh‑ms⟩,⟨lh‑lh‑ms⟩,⟨h‑lh‑ms⟩
[16],nchinH,knotted,"1sg
 2sg
 3sg","nchinL
 nchinMH
 nchinH","nchinMH
 nchinMH
 nchinH","nchinL
 nchinLH
 nchinMS","kchinL
 kchinLH
 kchinMS",⟨h‑mh‑l⟩,⟨h‑mh‑mh⟩,⟨ms‑lh‑l⟩
[17],senH,spread around,"1sg
 2sg
 3sg","nsenL
 nseMH
 nsenH","nsenMH
 nsenMH
 nsenMH","nsenL
 nsenLH
 nsenMS","ksenL
 ksenLH
 ksenMS",⟨h‑mh‑l⟩,⟨mh‑mh‑mh⟩,⟨ms‑lh‑l⟩
[18],xneHL,confessed,"1sg
 2sg
 3sg","xnenLS
 xneMH
 xneHL","nxnenLS
 nxneMH
 nxneHS","nxnenLS
 nxneMS
 nxneHL","xnenLS
 xneMS
 xneHL",⟨hl‑mh‑ls⟩,⟨hs‑mh‑ls⟩,⟨hl‑ms‑ls⟩
[19],slyaML,agreed,"1sg
 2sg
 3sg","slyanML
 slyaMH
 slyaHL","nslyanMH
 nslyaMH
 nslyaHL","nxlyanML
 nxlyaLH
 nxlyaML","xlyanML
 xlyaLH
 xlyaML",⟨hl‑mh‑ml⟩,⟨hl‑mh‑mh⟩,⟨ml‑lh‑ml⟩
[20],kwaHL,sat,"1sg
 2sg
 3sg","kwanLS
 kwaMS
 kwaHL","ntkwanLS
 ntkwaH
 ntkwaHL","ntykwanLS
 ntykwaMS
 ntykwaHL","tykwanLS
 tykwaMS
 tykwaHL",⟨hl‑ms‑ls⟩,⟨hl‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],lyaHL,peeled off,"1sg
 2sg
 3sg","lyanLS
 lyaMS
 lyaHL","nlyanLS
 nlyaH
 nlyaHS","nlyanLS
 nlyaMS
 nlyaHL","jlyanLS
 jlyaMS
 jlyaHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],sneHL,sprinkled,"1sg
 2sg
 3sg","snenLS
 sneMS
 sneHL","nsnenLS
 nsneH
 nsneHS","nsnenLS
 nsneMS
 nsneHL","snenLS
 sneMS
 sneHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],sqweHL,divided up,"1sg
 2sg
 3sg","sqwenLS
 sqweMS
 sqweHL","nsqwenLS
 nsqweH
 nsqweHS","nsqwenLS
 nsqweMS
 nsqweHL","sqwenLS
 sqweMS
 sqweHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],stanHL,peeled off,"1sg
 2sg
 3sg","stanLS
 stanMS
 stanHL","nstanLS
 nstanH
 nstanHS","nstanLS
 nstanMS
 nstanHL","stanLS
 stanMS
 stanHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],xkwanHL,sewed,"1sg
 2sg
 3sg","xkwanLS
 xkwanMS
 xkwanHL","nxkwanLS
 nxkwanH
 nxkwanHS","nxkwanLS
 nxkwanMS
 nxkwanHL","xkwanLS
 xkwanMS
 xkwanHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[21],xkwenHL,answered,"1sg
 2sg
 3sg","xkwenLS
 xkwenMS
 xkwenHL","nxkwenLS
 nxkwenH
 nxkwenHS","nxkwenLS
 nxkwenMS
 nxkwenHL","xkwenLS
 xkwenMS
 xkwenHL",⟨hl‑ms‑ls⟩,⟨hs‑h‑ls⟩,⟨hl‑ms‑ls⟩
[22],neHL,confessed,"1sg
 2sg
 3sg","nenLS
 neMS
 neHL","nnenLS
 nneHS
 nneHS","nninLS
 nniMS
 nniHL","nninLS
 nniMS
 nniHL",⟨hl‑ms‑ls⟩,⟨hs‑hs‑ls⟩,⟨hl‑ms‑ls⟩
